strain,parameter,value
N2,d_relative_to_body_speed_midbody_mean,12.097498190986153
N2,d_relative_to_head_base_angular_velocity_head_tip_mean,6.1878910073351
N2,d_relative_to_head_base_radial_velocity_head_tip_mean,5.23678444523365
N2,d_relative_to_hips_angular_velocity_tail_tip_mean,3.623759518466074
N2,d_relative_to_hips_radial_velocity_tail_tip_mean,8.924061709444887
N2,d_relative_to_neck_angular_velocity_head_tip_mean,5.662769620707013
N2,d_relative_to_neck_radial_velocity_head_tip_mean,12.457673064700026
N2,d_relative_to_tail_base_angular_velocity_tail_tip_mean,4.768934986867665
N2,d_relative_to_tail_base_radial_velocity_tail_tip_mean,4.823943266711627
N2,d_speed_head_base_mean,39.78928082273015
N2,d_speed_head_tip_mean,49.8519639842596
N2,d_speed_hips_mean,36.11150549499593
N2,d_speed_mean,34.03087608419689
N2,d_speed_midbody_mean,35.32551193884062
N2,d_speed_neck_mean,37.59341198756162
N2,d_speed_tail_base_mean,36.80580224054615
N2,d_speed_tail_tip_mean,39.82372411263106
N2,d_width_head_base_mean,2.476140605662836
N2,d_width_midbody_mean,1.1952192181231354
N2,d_width_tail_base_mean,1.9983089510762309
N2,eigen_projection_1_mean,1.627783167768889
N2,eigen_projection_2_mean,1.3309918705644632
N2,eigen_projection_3_mean,1.3723288463538845
N2,eigen_projection_4_mean,1.052554052479895
N2,eigen_projection_5_mean,0.5993261612789752
N2,eigen_projection_6_mean,0.4586142996225327
N2,eigen_projection_7_mean,0.34720163716599106
N2,head_tail_distance_mean,50.76326680803446
N2,length_mean,58.54461178124331
N2,motion_mode_mean,0.9663592067626289
N2,path_curvature_body_mean,0.3125029505717958
N2,path_curvature_head_mean,0.38392287559164534
N2,path_curvature_midbody_mean,0.13902407455024138
N2,path_curvature_tail_mean,0.13529147812547943
N2,quirkiness_mean,0.9793046376694858
N2,relative_to_body_angular_velocity_head_tip_mean,0.44089458869509374
N2,relative_to_body_angular_velocity_hips_mean,0.27626762676612754
N2,relative_to_body_angular_velocity_neck_mean,0.27204129805284927
N2,relative_to_body_angular_velocity_tail_tip_mean,0.28898103710992107
N2,relative_to_body_radial_velocity_head_tip_mean,4.136207975730786
N2,relative_to_body_radial_velocity_hips_mean,1.5324524147501053
N2,relative_to_body_radial_velocity_neck_mean,1.596428196634646
N2,relative_to_body_radial_velocity_tail_tip_mean,2.992984067784611
N2,relative_to_body_speed_midbody_mean,2.624605419795681
N2,relative_to_head_base_angular_velocity_head_tip_mean,1.1403542029727483
N2,relative_to_head_base_radial_velocity_head_tip_mean,0.9233471803292992
N2,relative_to_hips_angular_velocity_tail_tip_mean,0.7488368842568897
N2,relative_to_hips_radial_velocity_tail_tip_mean,1.6095279107833225
N2,relative_to_neck_angular_velocity_head_tip_mean,1.1624666778552695
N2,relative_to_neck_radial_velocity_head_tip_mean,2.220527488277821
N2,relative_to_tail_base_angular_velocity_tail_tip_mean,0.8629235804298712
N2,relative_to_tail_base_radial_velocity_tail_tip_mean,0.8511697930354485
N2,speed_head_base_mean,15.174184296734675
N2,speed_head_tip_mean,17.669965250799578
N2,speed_hips_mean,13.396508180076347
N2,speed_mean,12.722878613393954
N2,speed_midbody_mean,13.200664616018559
N2,speed_neck_mean,14.235100176112386
N2,speed_tail_base_mean,13.610905640251929
N2,speed_tail_tip_mean,14.39403449306353
N2,turn_mean,0.004995004995004995
N2,width_head_base_mean,5.283812838302166
N2,width_midbody_mean,6.16121223614987
N2,width_tail_base_mean,5.358048643518174
